name,id,end,start,notes
VANCOUVER MT PLEASANT,895,1956-01-01,,approx end - yr
VANCOUVER FRASERVIEW,886,1958-01-01,,approx end - yr
VANCOUVER CITY HALL,882,1987-01-01,,approx end - yr
VANCOUVER HARBOUR CS,888,2021-01-08,1925-11-30, 'end' indicates current as of that date; many precip missing; 
VANCOUVER INT'L A,889,2013-06-13,1937-01-31,switched to INTL A
VANCOUVER INTL A,51442,2021-01-08,2013-06-11, 'end' indicates current as of that date; most complete; few missing
,,,,
