"Date.Time","Year","Month","Day","Data.Quality","Max.Temp..Â.C.","Max.Temp.Flag","Min.Temp..Â.C.","Min.Temp.Flag","Mean.Temp..Â.C.","Mean.Temp.Flag","Heat.Deg.Days..Â.C.","Heat.Deg.Days.Flag","Cool.Deg.Days..Â.C.","Cool.Deg.Days.Flag","Total.Rain..mm.","Total.Rain.Flag","Total.Snow..cm.","Total.Snow.Flag","Total.Precip..mm.","Total.Precip.Flag","Snow.on.Grnd..cm.","Snow.on.Grnd.Flag","Dir.of.Max.Gust..10s.deg.","Dir.of.Max.Gust.Flag","Spd.of.Max.Gust..km.h.","Spd.of.Max.Gust.Flag"
"2/06/98",1998,2,6,NA,13.1,"",6.5,"",9.8,"",8.2,"",0,"",NA,NA,NA,NA,0.2,"",NA,NA,NA,NA,NA,NA
"2/07/98",1998,2,7,NA,14.9,"",9.6,"",12.3,"",5.7,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,NA,NA,NA
"2/08/98",1998,2,8,NA,11,"",7.8,"",9.4,"",8.6,"",0,"",NA,NA,NA,NA,11.2,"",NA,NA,NA,NA,NA,NA
"2/09/98",1998,2,9,NA,9.7,"",4.8,"",7.3,"",10.7,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,NA,NA,NA
"2/10/98",1998,2,10,NA,10.9,"",6.2,"",8.6,"",9.4,"",0,"",NA,NA,NA,NA,2,"",NA,NA,NA,NA,NA,NA
"2/11/98",1998,2,11,NA,NA,"M",NA,"M",NA,"M",NA,"M",NA,"M",NA,NA,NA,NA,NA,"M",NA,NA,NA,NA,NA,NA
"2/12/98",1998,2,12,NA,NA,"M",NA,"M",NA,"M",NA,"M",NA,"M",NA,NA,NA,NA,NA,"M",NA,NA,NA,NA,NA,NA
"2/13/98",1998,2,13,NA,10.9,"",6.2,"",8.6,"",9.4,"",0,"",NA,NA,NA,NA,0.2,"",NA,NA,NA,NA,NA,NA
"2/14/98",1998,2,14,NA,10.1,"",7,"",8.6,"",9.4,"",0,"",NA,NA,NA,NA,1.4,"",NA,NA,NA,NA,NA,NA
"2/15/98",1998,2,15,NA,11.2,"",6.5,"",8.9,"",9.1,"",0,"",NA,NA,NA,NA,2.8,"",NA,NA,NA,NA,NA,NA
"2/16/98",1998,2,16,NA,9.9,"",5.7,"",7.8,"",10.2,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,NA,NA,NA
