Month,Season,Date,Year,Day,Max.Temp,Min.Temp,Mean.Temp,Total.Precip,Season.Yr
1,Winter,2015-01-01,2015,1,3.4,-5.2,-0.9,0,2015
1,Winter,2015-01-02,2015,2,3.6,0.1,1.9,3.8,2015
1,Winter,2015-01-03,2015,3,3.8,0.5,2.2,2.8,2015
1,Winter,2015-01-04,2015,4,6.5,1.7,4.1,38,2015
1,Winter,2015-01-05,2015,5,9.2,4.7,7,20,2015
1,Winter,2015-01-06,2015,6,11.5,3.4,7.5,0,2015
1,Winter,2015-01-07,2015,7,7.2,3.7,5.5,0,2015
1,Winter,2015-01-08,2015,8,5.1,3.3,4.2,0,2015
1,Winter,2015-01-09,2015,9,8.1,2,5.1,1.2,2015
1,Winter,2015-01-10,2015,10,6.9,5.5,6.2,3.2,2015
1,Winter,2015-01-11,2015,11,7.4,5.8,6.6,1.4,2015
1,Winter,2015-01-12,2015,12,8.1,1.8,5,0,2015
1,Winter,2015-01-13,2015,13,5.2,1,3.1,0,2015
1,Winter,2015-01-14,2015,14,4.4,-2.1,1.2,0,2015
1,Winter,2015-01-15,2015,15,8.8,-0.4,4.2,6.2,2015
1,Winter,2015-01-16,2015,16,11.4,6.7,9.1,2.8,2015
1,Winter,2015-01-17,2015,17,9.2,2.8,6,6.8,2015
1,Winter,2015-01-18,2015,18,10.3,6.5,8.4,16.8,2015
1,Winter,2015-01-19,2015,19,10.1,2,6.1,0.2,2015
1,Winter,2015-01-20,2015,20,8.5,1,4.8,0,2015
1,Winter,2015-01-21,2015,21,6.6,-1.4,2.6,0.6,2015
1,Winter,2015-01-22,2015,22,8.3,5.1,6.7,10.8,2015
1,Winter,2015-01-23,2015,23,11.5,8,9.8,31.6,2015
1,Winter,2015-01-24,2015,24,12,10.2,11.1,9.8,2015
1,Winter,2015-01-25,2015,25,14.1,5.6,9.9,0,2015
1,Winter,2015-01-26,2015,26,12.5,4.4,8.5,0,2015
1,Winter,2015-01-27,2015,27,11.5,6.6,9.1,0,2015
1,Winter,2015-01-28,2015,28,10,2,6,0,2015
1,Winter,2015-01-29,2015,29,8.7,1.2,5,0,2015
1,Winter,2015-01-30,2015,30,7.1,-0.1,3.5,0,2015
1,Winter,2015-01-31,2015,31,6.4,3.5,5,0,2015
2,Winter,2015-02-01,2015,1,8.9,5.2,7.1,3.4,2015
2,Winter,2015-02-02,2015,2,8.4,7.1,7.8,3.8,2015
2,Winter,2015-02-03,2015,3,9.3,6.3,7.8,4.2,2015
2,Winter,2015-02-04,2015,4,8.5,3,5.8,3.4,2015
2,Winter,2015-02-05,2015,5,12.6,7.1,9.9,26.2,2015
2,Winter,2015-02-06,2015,6,12.6,10.5,11.6,11.8,2015
2,Winter,2015-02-07,2015,7,11.4,9.9,10.7,11.4,2015
2,Winter,2015-02-08,2015,8,14.3,9,11.7,1.6,2015
2,Winter,2015-02-09,2015,9,11,7.2,9.1,17.4,2015
2,Winter,2015-02-10,2015,10,12.2,7.9,10.1,9.6,2015
2,Winter,2015-02-11,2015,11,12.1,5.8,9,0,2015
2,Winter,2015-02-12,2015,12,11.2,7.5,9.4,10,2015
2,Winter,2015-02-13,2015,13,12.6,7.8,10.2,4.2,2015
