Month,Season,Date,Year,Day,Max.Temp,Min.Temp,Mean.Temp,Total.Precip,Season.Yr
1,Winter,2018-01-01,2018,1,3,-4.5,-0.8,0,2018
1,Winter,2018-01-02,2018,2,3,-3.3,-0.2,0,2018
1,Winter,2018-01-03,2018,3,4,-1.6,1.2,0,2018
1,Winter,2018-01-04,2018,4,5.7,1.4,3.6,0,2018
1,Winter,2018-01-05,2018,5,9.7,4.6,7.2,21.8,2018
1,Winter,2018-01-06,2018,6,9.2,5,7.1,1,2018
1,Winter,2018-01-07,2018,7,6.7,4.6,5.7,15.8,2018
1,Winter,2018-01-08,2018,8,7.8,6,6.9,12,2018
1,Winter,2018-01-09,2018,9,7.6,5,6.3,3.4,2018
1,Winter,2018-01-10,2018,10,6.8,2,4.4,0,2018
1,Winter,2018-01-11,2018,11,5.9,2.8,4.4,17.6,2018
1,Winter,2018-01-12,2018,12,5.4,2.3,3.9,20,2018
1,Winter,2018-01-13,2018,13,8.8,3.4,6.1,6.6,2018
1,Winter,2018-01-14,2018,14,5.7,0.9,3.3,0,2018
1,Winter,2018-01-15,2018,15,9.4,0.1,4.8,0,2018
1,Winter,2018-01-16,2018,16,11.2,8,9.6,3.8,2018
1,Winter,2018-01-17,2018,17,11.8,6.9,9.4,11.4,2018
1,Winter,2018-01-18,2018,18,10.1,6.2,8.2,2,2018
1,Winter,2018-01-19,2018,19,7.2,6.1,6.7,7.8,2018
1,Winter,2018-01-20,2018,20,8,4.8,6.4,6.6,2018
1,Winter,2018-01-21,2018,21,9.7,5.6,7.7,2.2,2018
1,Winter,2018-01-22,2018,22,8.4,4.1,6.3,3.4,2018
1,Winter,2018-01-23,2018,23,6.6,3.8,5.2,10.6,2018
1,Winter,2018-01-24,2018,24,9.3,5.3,7.3,13.2,2018
1,Winter,2018-01-25,2018,25,6.9,1.7,4.3,11,2018
1,Winter,2018-01-26,2018,26,6.6,1.7,4.2,3.8,2018
1,Winter,2018-01-27,2018,27,5.5,3,4.3,16.2,2018
1,Winter,2018-01-28,2018,28,9.1,3.8,6.5,15,2018
1,Winter,2018-01-29,2018,29,10.2,4.5,7.4,35.2,2018
1,Winter,2018-01-30,2018,30,7.6,3,5.3,1.6,2018
1,Winter,2018-01-31,2018,31,6.2,0.2,3.2,7.4,2018
2,Winter,2018-02-01,2018,1,6.3,3.5,4.9,11.2,2018
2,Winter,2018-02-02,2018,2,10.2,5,7.6,11.6,2018
2,Winter,2018-02-03,2018,3,9.2,6.8,8,5,2018
2,Winter,2018-02-04,2018,4,12.4,7.3,9.9,10.4,2018
2,Winter,2018-02-05,2018,5,9,4.7,6.9,0.6,2018
2,Winter,2018-02-06,2018,6,8.5,4.4,6.5,1.4,2018
2,Winter,2018-02-07,2018,7,9.2,7.3,8.3,2,2018
2,Winter,2018-02-08,2018,8,9.9,5.7,7.8,0,2018
2,Winter,2018-02-09,2018,9,6.7,2.8,4.8,0.2,2018
2,Winter,2018-02-10,2018,10,5.2,-1.8,1.7,0,2018
2,Winter,2018-02-11,2018,11,6.6,1,3.8,0,2018
2,Winter,2018-02-12,2018,12,4.3,-3.1,0.6,0,2018
2,Winter,2018-02-13,2018,13,5.9,-2.4,1.8,0.6,2018
2,Winter,2018-02-14,2018,14,6.4,0.4,3.4,6.2,2018
2,Winter,2018-02-15,2018,15,5.3,-1.2,2.1,0,2018
2,Winter,2018-02-16,2018,16,8.5,2.9,5.7,5.2,2018
2,Winter,2018-02-17,2018,17,8.8,1.6,5.2,19,2018
2,Winter,2018-02-18,2018,18,4.9,-2.9,1,10.6,2018
2,Winter,2018-02-19,2018,19,0.6,-6.5,-3,0,2018
2,Winter,2018-02-20,2018,20,2.2,-4.3,-1.1,0,2018
2,Winter,2018-02-21,2018,21,-1.1,-5.6,-3.4,1,2018
2,Winter,2018-02-22,2018,22,2.2,-7.5,-2.7,0,2018
2,Winter,2018-02-23,2018,23,-0.1,-3.7,-1.9,4.4,2018
2,Winter,2018-02-24,2018,24,3.7,-1.5,1.1,4.4,2018
2,Winter,2018-02-25,2018,25,6.5,2.1,4.3,0,2018
2,Winter,2018-02-26,2018,26,6.2,-3,1.6,0,2018
2,Winter,2018-02-27,2018,27,7.6,2.4,5,0.2,2018
2,Winter,2018-02-28,2018,28,5.4,2.6,4,11.8,2018
3,Spring,2018-03-01,2018,1,9.8,1.1,5.5,2,2018
3,Spring,2018-03-02,2018,2,5.1,-0.5,2.3,6.8,2018
3,Spring,2018-03-03,2018,3,7.4,1.5,4.5,2.6,2018
3,Spring,2018-03-04,2018,4,7.7,0.3,4,0.2,2018
3,Spring,2018-03-05,2018,5,7.2,1.1,4.2,0,2018
3,Spring,2018-03-06,2018,6,8.4,0.7,4.6,0,2018
3,Spring,2018-03-07,2018,7,6.9,-1.7,2.6,0,2018
3,Spring,2018-03-08,2018,8,8.1,4.2,6.2,16.8,2018
3,Spring,2018-03-09,2018,9,8.5,4,6.3,0.2,2018
3,Spring,2018-03-10,2018,10,8.1,-1.2,3.5,0,2018
3,Spring,2018-03-11,2018,11,10.2,-0.5,4.9,0,2018
3,Spring,2018-03-12,2018,12,12.3,1.6,7,0,2018
3,Spring,2018-03-13,2018,13,11.3,4,7.7,9.2,2018
3,Spring,2018-03-14,2018,14,11.7,5.8,8.8,1.2,2018
3,Spring,2018-03-15,2018,15,10,0.7,5.4,0,2018
3,Spring,2018-03-16,2018,16,10.3,0.7,5.5,0,2018
3,Spring,2018-03-17,2018,17,11.5,0.6,6.1,0,2018
3,Spring,2018-03-18,2018,18,10,2.3,6.2,0.6,2018
3,Spring,2018-03-19,2018,19,10.3,2.9,6.6,0,2018
3,Spring,2018-03-20,2018,20,10.5,4.6,7.6,0,2018
3,Spring,2018-03-21,2018,21,11.6,1.1,6.4,0.8,2018
3,Spring,2018-03-22,2018,22,8.9,3.2,6.1,23.6,2018
3,Spring,2018-03-23,2018,23,8.4,3,5.7,0.2,2018
3,Spring,2018-03-24,2018,24,8.3,2.8,5.6,5.4,2018
3,Spring,2018-03-25,2018,25,9.4,0.5,5,0.2,2018
3,Spring,2018-03-26,2018,26,8.2,5,6.6,26.6,2018
3,Spring,2018-03-27,2018,27,13.3,7.5,10.4,8.8,2018
3,Spring,2018-03-28,2018,28,9.8,6.4,8.1,0,2018
3,Spring,2018-03-29,2018,29,8.4,6.1,7.3,5.8,2018
3,Spring,2018-03-30,2018,30,13.2,7.1,10.2,0.8,2018
3,Spring,2018-03-31,2018,31,10.9,2.2,6.6,0,2018
4,Spring,2018-04-01,2018,1,9.1,4.5,6.8,0.4,2018
4,Spring,2018-04-02,2018,2,9.9,-0.2,4.9,0,2018
4,Spring,2018-04-03,2018,3,9.1,4.7,6.9,0,2018
4,Spring,2018-04-04,2018,4,9,4.2,6.6,6.4,2018
4,Spring,2018-04-05,2018,5,10.1,6.2,8.2,24,2018
4,Spring,2018-04-06,2018,6,15.3,8.1,11.7,2,2018
4,Spring,2018-04-07,2018,7,13.7,7.7,10.7,25.6,2018
4,Spring,2018-04-08,2018,8,12.2,7.9,10.1,4.4,2018
4,Spring,2018-04-09,2018,9,12.8,7.6,10.2,0.4,2018
4,Spring,2018-04-10,2018,10,13.8,5,9.4,3.8,2018
4,Spring,2018-04-11,2018,11,10.6,5.4,8,10.4,2018
4,Spring,2018-04-12,2018,12,11.5,3.8,7.7,0.6,2018
4,Spring,2018-04-13,2018,13,10.2,6.3,8.3,20.2,2018
4,Spring,2018-04-14,2018,14,12.5,5.5,9,0.6,2018
4,Spring,2018-04-15,2018,15,10.1,6.1,8.1,2.6,2018
4,Spring,2018-04-16,2018,16,9,6.9,8,16.4,2018
4,Spring,2018-04-17,2018,17,12.4,6,9.2,2.2,2018
4,Spring,2018-04-18,2018,18,11.7,4.5,8.1,0,2018
4,Spring,2018-04-19,2018,19,12.9,1.5,7.2,0,2018
4,Spring,2018-04-20,2018,20,13.9,7.6,10.8,3.8,2018
4,Spring,2018-04-21,2018,21,13.1,7.3,10.2,1.6,2018
4,Spring,2018-04-22,2018,22,12.9,2.5,7.7,0,2018
4,Spring,2018-04-23,2018,23,15.5,3.5,9.5,0,2018
4,Spring,2018-04-24,2018,24,15.5,3.9,9.7,0,2018
4,Spring,2018-04-25,2018,25,16.3,7.8,12.1,0,2018
4,Spring,2018-04-26,2018,26,18.1,5,11.6,0,2018
4,Spring,2018-04-27,2018,27,17.6,7.5,12.6,0,2018
4,Spring,2018-04-28,2018,28,12.6,9.8,11.2,6,2018
4,Spring,2018-04-29,2018,29,13.2,8.6,10.9,3.4,2018
4,Spring,2018-04-30,2018,30,14.3,9.4,11.9,0,2018
5,Spring,2018-05-01,2018,1,14.1,7.2,10.7,0,2018
5,Spring,2018-05-02,2018,2,16.2,7.1,11.7,0,2018
5,Spring,2018-05-03,2018,3,21.2,8.9,15.1,0,2018
5,Spring,2018-05-04,2018,4,14.9,9.3,12.1,0,2018
5,Spring,2018-05-05,2018,5,17.7,6.1,11.9,0,2018
5,Spring,2018-05-06,2018,6,19.4,11.4,15.4,0.4,2018
5,Spring,2018-05-07,2018,7,19.7,11.2,15.5,0,2018
5,Spring,2018-05-08,2018,8,19.2,7.8,13.5,0,2018
5,Spring,2018-05-09,2018,9,18.8,11.5,15.2,1,2018
5,Spring,2018-05-10,2018,10,15.2,9,12.1,0,2018
5,Spring,2018-05-11,2018,11,16.8,9.2,13,0,2018
5,Spring,2018-05-12,2018,12,18.6,7.8,13.2,0,2018
5,Spring,2018-05-13,2018,13,21.1,13.1,17.1,0,2018
5,Spring,2018-05-14,2018,14,25.1,11,18.1,0,2018
5,Spring,2018-05-15,2018,15,24,11.3,17.7,0,2018
5,Spring,2018-05-16,2018,16,19.1,12.6,15.9,0,2018
5,Spring,2018-05-17,2018,17,18.2,11.8,15,0,2018
5,Spring,2018-05-18,2018,18,18.8,13,15.9,0,2018
5,Spring,2018-05-19,2018,19,19.4,12.8,16.1,0.2,2018
5,Spring,2018-05-20,2018,20,19.8,12.9,16.4,0,2018
5,Spring,2018-05-21,2018,21,19.4,11.9,15.7,0,2018
5,Spring,2018-05-22,2018,22,20.2,9.3,14.8,0,2018
5,Spring,2018-05-23,2018,23,23.1,9.4,16.3,0,2018
5,Spring,2018-05-24,2018,24,20.2,12.8,16.5,0,2018
5,Spring,2018-05-25,2018,25,19.8,10.1,15,0,2018
5,Spring,2018-05-26,2018,26,19.4,10.3,14.9,0,2018
5,Spring,2018-05-27,2018,27,21.7,11.3,16.5,0,2018
5,Spring,2018-05-28,2018,28,20.3,12,16.2,0,2018
5,Spring,2018-05-29,2018,29,17.3,11.5,14.4,0,2018
5,Spring,2018-05-30,2018,30,16.6,10.9,13.8,0,2018
5,Spring,2018-05-31,2018,31,18.6,10.3,14.5,0,2018
6,Summer,2018-06-01,2018,1,17.4,10.3,13.9,0.4,2018
6,Summer,2018-06-02,2018,2,20.8,12.2,16.5,0,2018
6,Summer,2018-06-03,2018,3,15.8,11.6,13.7,0.4,2018
6,Summer,2018-06-04,2018,4,18.5,9.4,14,0,2018
6,Summer,2018-06-05,2018,5,17.3,10.4,13.9,0.2,2018
6,Summer,2018-06-06,2018,6,19.9,9.5,14.7,0,2018
6,Summer,2018-06-07,2018,7,17.8,10.8,14.3,0,2018
6,Summer,2018-06-08,2018,8,15.4,11.2,13.3,12.2,2018
