Month,Season,Date,Year,Day,Max.Temp,Min.Temp,Mean.Temp,Total.Precip,Season.Yr
1,Winter,2017-01-01,2017,1,2.2,-2.3,-0.1,0,2017
1,Winter,2017-01-02,2017,2,1.4,-6,-2.3,0,2017
1,Winter,2017-01-03,2017,3,0.4,-7.8,-3.7,0,2017
1,Winter,2017-01-04,2017,4,2.2,-8.4,-3.1,0,2017
1,Winter,2017-01-05,2017,5,0.7,-6.6,-3,0,2017
1,Winter,2017-01-06,2017,6,2.5,-1.3,0.6,0,2017
1,Winter,2017-01-07,2017,7,1.9,-4.1,-1.1,0,2017
1,Winter,2017-01-08,2017,8,3.7,0.3,2,11,2017
1,Winter,2017-01-09,2017,9,5.2,1.5,3.4,2.6,2017
1,Winter,2017-01-10,2017,10,3.6,-4.5,-0.5,0,2017
1,Winter,2017-01-11,2017,11,1.8,-6.7,-2.5,0,2017
1,Winter,2017-01-12,2017,12,0.5,-7.6,-3.6,0,2017
1,Winter,2017-01-13,2017,13,0.8,-7.1,-3.2,0,2017
1,Winter,2017-01-14,2017,14,3.2,-7.1,-2,0,2017
1,Winter,2017-01-15,2017,15,4.2,-2.6,0.8,0,2017
1,Winter,2017-01-16,2017,16,6,0.2,3.1,4.4,2017
1,Winter,2017-01-17,2017,17,9,4.7,6.9,28.4,2017
1,Winter,2017-01-18,2017,18,11.4,7.9,9.7,26,2017
1,Winter,2017-01-19,2017,19,8.7,5.6,7.2,20.8,2017
1,Winter,2017-01-20,2017,20,7.3,1.6,4.5,0.4,2017
1,Winter,2017-01-21,2017,21,10.5,4.2,7.4,1.6,2017
1,Winter,2017-01-22,2017,22,7.4,2,4.7,2.8,2017
1,Winter,2017-01-23,2017,23,6.9,-1.7,2.6,0,2017
1,Winter,2017-01-24,2017,24,4.6,-1.8,1.4,0,2017
1,Winter,2017-01-25,2017,25,5.8,2.1,4,0,2017
1,Winter,2017-01-26,2017,26,7.1,-0.7,3.2,0,2017
1,Winter,2017-01-27,2017,27,8.9,2.2,5.6,0,2017
1,Winter,2017-01-28,2017,28,9.8,0.1,5,0,2017
1,Winter,2017-01-29,2017,29,8.6,2,5.3,0.8,2017
1,Winter,2017-01-30,2017,30,5.8,1.9,3.9,0,2017
1,Winter,2017-01-31,2017,31,6.8,-1.3,2.8,0,2017
2,Winter,2017-02-01,2017,1,7.4,-4.9,1.3,0,2017
2,Winter,2017-02-02,2017,2,5.8,-5.8,0,0,2017
2,Winter,2017-02-03,2017,3,0.9,-2.4,-0.8,15.2,2017
2,Winter,2017-02-04,2017,4,0.9,0,0.5,24,2017
2,Winter,2017-02-05,2017,5,0.9,-1.7,-0.4,1.6,2017
2,Winter,2017-02-06,2017,6,-0.1,-3.4,-1.8,6.6,2017
2,Winter,2017-02-07,2017,7,1.6,-6,-2.2,0,2017
2,Winter,2017-02-08,2017,8,-0.8,-7.2,-4,5.6,2017
2,Winter,2017-02-09,2017,9,7.2,-0.9,3.2,20,2017
2,Winter,2017-02-10,2017,10,7.9,1.3,4.6,2.8,2017
2,Winter,2017-02-11,2017,11,6.9,-0.5,3.2,0,2017
2,Winter,2017-02-12,2017,12,6.5,0.5,3.5,0,2017
2,Winter,2017-02-13,2017,13,7.7,-1.6,3.1,0,2017
2,Winter,2017-02-14,2017,14,11.2,0.1,5.7,7.4,2017
2,Winter,2017-02-15,2017,15,12.2,7.5,9.9,26.8,2017
2,Winter,2017-02-16,2017,16,12.7,4.8,8.8,1.6,2017
